,Date_reported, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
37252,1,0,0,0,0
37253,2,0,0,0,0
37254,3,0,0,0,0
37255,4,0,0,0,0
37256,5,0,0,0,0
37257,6,0,0,0,0
37258,7,0,0,0,0
37259,8,0,0,0,0
37260,9,0,0,0,0
37261,10,0,0,0,0
37262,11,0,0,0,0
37263,12,0,0,0,0
37264,13,0,0,0,0
37265,14,0,0,0,0
37266,15,0,0,0,0
37267,16,0,0,0,0
37268,17,0,0,0,0
37269,18,0,0,0,0
37270,19,0,0,0,0
37271,20,0,0,0,0
37272,21,0,0,0,0
37273,22,0,0,0,0
37274,23,0,0,0,0
37275,24,0,0,0,0
37276,25,0,0,0,0
37277,26,0,0,0,0
37278,27,0,0,0,0
37279,28,0,0,0,0
37280,29,0,0,0,0
37281,30,0,0,0,0
37282,31,0,0,0,0
37283,32,0,0,0,0
37284,33,0,0,0,0
37285,34,0,0,0,0
37286,35,0,0,0,0
37287,36,0,0,0,0
37288,37,0,0,0,0
37289,38,0,0,0,0
37290,39,0,0,0,0
37291,40,0,0,0,0
37292,41,0,0,0,0
37293,42,0,0,0,0
37294,43,0,0,0,0
37295,44,0,0,0,0
37296,45,0,0,0,0
37297,46,0,0,0,0
37298,47,0,0,0,0
37299,48,0,0,0,0
37300,49,0,0,0,0
37301,50,0,0,0,0
37302,51,0,0,0,0
37303,52,0,0,0,0
37304,53,0,0,0,0
37305,54,0,0,0,0
37306,55,0,0,0,0
37307,56,0,0,0,0
37308,57,6,6,0,0
37309,58,0,6,0,0
37310,59,0,6,0,0
37311,60,3,9,0,0
37312,61,0,9,0,0
37313,62,0,9,0,0
37314,63,0,9,0,0
37315,64,0,9,0,0
37316,65,0,9,0,0
37317,66,2,11,0,0
37318,67,0,11,0,0
37319,68,0,11,0,0
37320,69,0,11,0,0
37321,70,4,15,0,0
37322,71,1,16,0,0
37323,72,14,30,0,0
37324,73,15,45,0,0
37325,74,12,57,0,0
37326,75,29,86,0,0
37327,76,11,97,0,0
37328,77,21,118,1,1
37329,78,46,164,0,1
37330,79,0,164,0,1
37331,80,0,164,0,1
37332,81,87,251,1,2
37333,82,65,316,0,2
37334,83,0,316,0,2
37335,84,162,478,3,5
37336,85,0,478,0,5
37337,86,111,589,3,8
37338,87,128,717,4,12
37339,88,131,848,4,16
37340,89,145,993,4,20
37341,90,101,1094,8,28
37342,91,121,1215,1,29
37343,92,163,1378,8,37
37344,93,132,1510,13,50
37345,94,178,1688,10,60
37346,95,202,1890,19,79
37347,96,253,2143,15,94
37348,97,296,2439,31,125
37349,98,346,2785,16,141
37350,99,396,3181,33,174
37351,100,260,3441,20,194
37352,101,403,3844,39,233
37353,102,375,4219,40,273
37354,103,442,4661,23,296
37355,104,353,5014,36,332
37356,105,385,5399,74,406
37357,106,448,5847,43,449
37358,107,450,6297,37,486
37359,108,578,6875,60,546
37360,109,622,7497,104,650
37361,110,764,8261,36,686
37362,111,511,8772,26,712
37363,112,729,9501,145,857
37364,113,1043,10544,113,970
37365,114,1089,11633,99,1069
37366,115,1239,12872,152,1221
37367,116,970,13842,84,1305
37368,117,835,14677,46,1351
37369,118,852,15529,83,1434
37370,119,1223,16752,135,1569
